product_id,product_name,category,brand,description,current_price,cost,stock_quantity,monthly_sales,average_rating,review_count,supplier,last_updated
PROD-013,Essential Oils Set 10-Pack,Health & Wellness,AromaBliss,"Pure essential oils set including lavender, peppermint, eucalyptus, tea tree, and more. 100% natural with no additives. Perfect for aromatherapy, diffusers, or DIY projects. Comes with usage guide.",34.99,14.50,298,89,4.7,1456,NatureSource Inc,2024-03-15
PROD-014,Cast Iron Skillet 12-inch,Kitchen & Dining,ChefPro,"Pre-seasoned cast iron skillet, 12-inch diameter. Even heat distribution for perfect cooking. Oven-safe up to 500°F. Compatible with all cooktops including induction. Comes with care instructions.",44.99,18.75,234,67,4.8,2134,CookSupply Co,2024-03-08
PROD-015,Foam Roller Textured,Sports & Fitness,RecoverPro,"High-density foam roller for muscle recovery and myofascial release. Textured surface for deep tissue massage. 13-inch length, lightweight and portable. Helps reduce muscle soreness and improve flexibility.",19.99,7.25,567,201,4.5,678,FitGear Dist,2024-03-16
PROD-016,Bluetooth Speaker Portable,Electronics,SoundWave,"Portable Bluetooth speaker with 360-degree sound. 12-hour battery life and IPX7 waterproof rating. Built-in microphone for hands-free calls. Compact design perfect for outdoor activities. Pairs with two devices simultaneously.",49.99,23.50,389,119,4.5,987,TechSupply Co,2024-03-17
PROD-017,Bamboo Cutting Board Set,Kitchen & Dining,EcoKitchen,"3-piece bamboo cutting board set in different sizes. Naturally antibacterial and eco-friendly. Knife-friendly surface won't dull blades. Easy to clean and maintain. Includes juice groove on largest board.",29.99,11.25,445,145,4.6,534,HomeGoods Inc,2024-03-12
PROD-018,Dumbbell Set Adjustable 50lb,Sports & Fitness,IronFlex,"Adjustable dumbbell set, each dumbbell adjusts from 5-50 lbs. Space-saving design replaces 15 sets of weights. Quick-adjust mechanism with secure locking. Anti-roll design. Perfect for home gym.",299.99,145.00,87,34,4.7,456,FitGear Dist,2024-03-10
PROD-019,Air Purifier HEPA Filter,Home & Garden,PureAir,"HEPA air purifier removes 99.97% of particles. Covers rooms up to 300 sq ft. 3-stage filtration system. Quiet operation with sleep mode. Air quality indicator and auto mode. Filter replacement indicator.",129.99,62.50,156,58,4.4,789,HomeAppliance Co,2024-03-18
PROD-020,Memory Foam Pillow,Home & Garden,SleepWell,"Contoured memory foam pillow for neck and shoulder support. Hypoallergenic and dust mite resistant. Breathable bamboo cover, removable and washable. Ideal for side and back sleepers.",39.99,16.25,478,167,4.5,1234,BedSupply Co,2024-03-13
PROD-021,Digital Kitchen Scale,Kitchen & Dining,PrecisionChef,"Digital kitchen scale with 11 lb capacity. Accurate to 0.1 oz/1g. Large LCD display and touch-sensitive buttons. Tare function and multiple unit conversions. Slim design with tempered glass platform.",19.99,7.50,534,198,4.6,678,HomeGoods Inc,2024-03-15
PROD-022,Sunglasses Polarized UV400,Accessories,SunShield,"Polarized sunglasses with UV400 protection. Lightweight frame with comfortable nose pads. Reduces glare and eye strain. Available in multiple styles and colors. Includes protective case and cleaning cloth.",34.99,13.75,289,102,4.4,445,Eyewear Co,2024-03-11
PROD-023,Plant-Based Protein Bars 12-Pack,Health & Wellness,GreenFuel,"Plant-based protein bars with 10g protein each. Organic ingredients, gluten-free and vegan. Low sugar, high fiber. Variety pack with 3 flavors. Perfect for pre/post workout or healthy snacking.",24.99,11.50,623,234,4.5,892,HealthDist Co,2024-03-19
PROD-024,Mechanical Keyboard RGB,Electronics,TypeMaster,"Mechanical gaming keyboard with RGB backlighting. Customizable per-key lighting effects. Tactile mechanical switches for precise typing. Anti-ghosting technology. Durable aluminum frame. Compatible with Windows and Mac.",99.99,48.50,198,67,4.6,567,TechSupply Co,2024-03-14
PROD-025,Ceramic Non-Stick Pan 10-inch,Kitchen & Dining,GreenCook,"Ceramic non-stick frying pan, 10-inch diameter. PFOA-free and toxin-free coating. Even heat distribution. Oven-safe up to 400°F. Dishwasher safe. Ergonomic handle stays cool during cooking.",39.99,17.25,367,123,4.5,789,CookSupply Co,2024-03-16
PROD-026,Electric Toothbrush Rechargeable,Health & Wellness,SmileBright,"Rechargeable electric toothbrush with 5 brushing modes. 2-minute timer with 30-second intervals. Pressure sensor protects gums. Up to 4 weeks battery life. Includes 3 brush heads and travel case.",59.99,27.50,278,98,4.7,1456,HealthCare Inc,2024-03-12
PROD-027,Yoga Block Set 2-Pack,Sports & Fitness,FlexFlow,"High-density foam yoga blocks, 2-pack. Provides stability and support for various poses. Lightweight and durable. Non-slip surface with beveled edges. Easy to clean. Perfect for beginners and advanced practitioners.",16.99,5.75,689,245,4.6,534,FitGear Dist,2024-03-17
PROD-028,Insulated Lunch Bag,Accessories,FreshPack,"Insulated lunch bag with leak-proof lining. Keeps food cold or hot for hours. Multiple compartments for organization. Adjustable shoulder strap. Easy to clean. Perfect for work, school, or outdoor activities.",22.99,8.50,445,167,4.4,423,BagWorld Inc,2024-03-13
PROD-029,Smart LED Light Bulbs 4-Pack,Home & Garden,BrightTech,"Smart WiFi LED bulbs, works with Alexa and Google Home. Adjustable brightness and 16 million colors. Schedule and control from smartphone app. Energy-efficient and long-lasting (25,000 hours). Easy setup.",39.99,18.25,312,89,4.5,678,LightCo Supplies,2024-03-18
PROD-030,Resistance Loop Bands Set,Sports & Fitness,PowerFlex,"Mini resistance loop bands set with 5 different resistance levels. Perfect for glute activation, leg workouts, and physical therapy. Portable and durable. Non-slip design. Includes carrying bag and exercise guide.",14.99,5.25,734,289,4.6,892,FitGear Dist,2024-03-15
PROD-031,Stainless Steel Mixing Bowls 5-Set,Kitchen & Dining,ChefPro,"Stainless steel mixing bowl set in 5 sizes (1.5 to 8 quarts). Nested design for space-saving storage. Non-slip bases and measurement marks. Dishwasher safe. Versatile for mixing, serving, and storage.",34.99,13.25,389,134,4.7,567,CookSupply Co,2024-03-10
PROD-032,Wireless Earbuds True Wireless,Electronics,SoundPro,"True wireless earbuds with active noise cancellation. 6-hour battery life plus 24 hours with charging case. IPX5 water resistance. Touch controls and voice assistant support. Quick charge feature.",79.99,38.50,267,112,4.4,1234,TechSupply Co,2024-03-19
PROD-033,Collagen Peptides Powder Unflavored,Health & Wellness,VitalPro,"Grass-fed collagen peptides powder, unflavored. Supports skin, hair, nails, and joint health. Easily dissolves in hot or cold liquids. 20g collagen per serving. Paleo and keto-friendly.",39.99,19.25,398,156,4.6,1678,HealthDist Co,2024-03-14
PROD-034,Hammock Portable Double,Home & Garden,OutdoorRest,"Portable double hammock with tree straps included. Supports up to 500 lbs. Lightweight and compact, packs into attached stuff sack. Breathable parachute nylon. Perfect for camping, backyard, or beach.",44.99,19.75,198,87,4.5,445,OutdoorGear Co,2024-03-11
PROD-035,Spice Rack Organizer Bamboo,Kitchen & Dining,OrganizeIt,"3-tier bamboo spice rack organizer. Expandable design fits different cabinet sizes. Holds up to 30 spice jars. Easy assembly. Natural bamboo construction. Keeps spices organized and easily accessible.",24.99,9.25,456,178,4.5,334,HomeGoods Inc,2024-03-16
PROD-036,Gaming Mouse Pad Extended,Electronics,GameZone,"Extended gaming mouse pad, 36x12 inches. Smooth surface optimized for gaming mice. Non-slip rubber base. Stitched edges prevent fraying. Machine washable. Large enough for keyboard and mouse.",19.99,6.75,589,201,4.6,789,TechSupply Co,2024-03-13
PROD-037,Multivitamin Gummies Adults,Health & Wellness,HealthyLife,"Adult multivitamin gummies with essential vitamins and minerals. Great-tasting fruit flavors. Gluten-free and gelatin-free. Supports immune health, energy, and overall wellness. 60-day supply.",22.99,10.25,567,223,4.5,1123,HealthDist Co,2024-03-17
PROD-038,Reusable Shopping Bags 6-Pack,Accessories,EcoBag,"Reusable shopping bags set of 6 in assorted colors. Each bag holds up to 50 lbs. Folds into attached pouch for easy storage. Machine washable. Eco-friendly alternative to plastic bags.",16.99,5.50,723,267,4.7,567,EcoSupplies Inc,2024-03-15
PROD-039,Air Fryer 5.8 Quart,Kitchen & Dining,CrispyChef,"Digital air fryer with 5.8 quart capacity. 8 preset cooking programs. Temperature range 180-400°F. Non-stick basket and dishwasher safe parts. Recipes included. Healthier cooking with little to no oil.",89.99,43.50,167,76,4.6,2234,HomeAppliance Co,2024-03-18
PROD-040,Jump Rope Weighted,Sports & Fitness,CardioMax,"Weighted jump rope with adjustable length. Comfortable foam handles with ball bearings for smooth rotation. Weighted rope improves cardio workout. Portable and durable. Includes spare cable.",12.99,4.25,834,312,4.5,445,FitGear Dist,2024-03-12
PROD-041,USB-C Charging Cable 3-Pack,Electronics,ChargeMax,"USB-C to USB-A charging cables, 3-pack (6ft each). Fast charging and data sync. Durable braided nylon design. Compatible with most USB-C devices. Tangle-free. Lifetime warranty.",19.99,6.25,678,245,4.6,892,TechSupply Co,2024-03-19
PROD-042,Green Tea Extract Supplement,Health & Wellness,NaturalBoost,"Green tea extract capsules with EGCG. Supports metabolism and energy. Powerful antioxidants. Non-GMO and vegan. 90-day supply. Third-party tested for purity and potency.",24.99,11.75,445,167,4.4,789,HealthDist Co,2024-03-14
PROD-043,Dish Drying Rack Over Sink,Kitchen & Dining,SpaceSaver,"Over-the-sink dish drying rack, roll-up design. Fits most sinks. Made from food-grade silicone and stainless steel. Heat-resistant, can be used as trivet. Easy to clean and store.",29.99,12.50,389,145,4.5,456,HomeGoods Inc,2024-03-16
PROD-044,Laptop Stand Adjustable,Electronics,ErgoDesk,"Adjustable laptop stand with 6 height levels. Improves posture and reduces neck strain. Aluminum alloy construction. Ventilated design prevents overheating. Foldable and portable. Fits laptops 10-17 inches.",34.99,15.25,423,134,4.6,678,TechSupply Co,2024-03-11
PROD-045,Acupressure Mat and Pillow Set,Health & Wellness,RelaxZone,"Acupressure mat and pillow set for pain relief and relaxation. Stimulates pressure points to reduce tension. Eco-friendly materials. Includes carrying bag. Helps with back pain, stress, and sleep quality.",39.99,17.50,298,98,4.5,1234,HealthCare Inc,2024-03-17
PROD-046,Knife Set 15-Piece,Kitchen & Dining,SharpEdge,"Professional 15-piece knife set with wooden block. High-carbon stainless steel blades. Ergonomic handles. Includes chef knife, bread knife, utility knives, steak knives, and kitchen shears. Hand wash recommended.",79.99,36.50,189,67,4.7,892,CookSupply Co,2024-03-13
PROD-047,Resistance Tubes Set,Sports & Fitness,PowerFlex,"Resistance tube set with 5 tubes of varying resistance. Includes handles, door anchor, and ankle straps. Stackable up to 150 lbs resistance. Portable and versatile. Great for strength training and rehabilitation.",34.99,13.25,467,178,4.6,567,FitGear Dist,2024-03-18
PROD-048,Phone Stand Adjustable,Electronics,ViewPro,"Adjustable phone stand with sturdy aluminum base. Compatible with all phones and small tablets. Adjustable height and angle. Non-slip silicone pads. Perfect for desk, kitchen, or bedside table.",14.99,5.25,734,289,4.5,445,TechSupply Co,2024-03-15
PROD-049,Probiotic Supplement 60 Billion CFU,Health & Wellness,GutHealth,"High-potency probiotic supplement with 60 billion CFU and 10 strains. Supports digestive health and immune function. Delayed-release capsules. Shelf-stable, no refrigeration needed. 30-day supply.",34.99,16.25,367,145,4.7,1567,HealthDist Co,2024-03-19
PROD-050,Silicone Baking Mats 2-Pack,Kitchen & Dining,BakePro,"Non-stick silicone baking mats, 2-pack. Fits half-sheet pans. Reusable and eco-friendly alternative to parchment paper. Heat-resistant up to 480°F. Dishwasher safe. Makes cleanup easy.",16.99,6.50,589,223,4.6,423,CookSupply Co,2024-03-12
PROD-051,Wall Mounted Pull-Up Bar,Sports & Fitness,StrengthMax,"Heavy-duty wall-mounted pull-up bar. Supports up to 440 lbs. Multiple grip positions. Sturdy steel construction with foam padding. Includes all mounting hardware. Space-saving home gym equipment.",49.99,22.50,156,54,4.7,334,FitGear Dist,2024-03-16
PROD-052,Wireless Charging Pad Fast Charge,Electronics,ChargeFast,"Fast wireless charging pad compatible with all Qi-enabled devices. 10W fast charging for compatible phones. LED indicator light. Slim design with non-slip surface. Includes USB cable. Case-friendly up to 5mm.",24.99,9.75,512,187,4.5,789,TechSupply Co,2024-03-14
PROD-053,Vitamin D3 5000 IU,Health & Wellness,SunVitamin,"Vitamin D3 (cholecalciferol) 5000 IU softgels. Supports bone health and immune function. Easy-to-swallow softgels. Non-GMO and gluten-free. 360-day supply (1 per day).",18.99,8.25,623,245,4.6,1892,HealthDist Co,2024-03-17
PROD-054,Instant Pot 6 Quart,Kitchen & Dining,QuickCook,"Multi-functional pressure cooker, 6-quart capacity. 7-in-1: pressure cooker, slow cooker, rice cooker, steamer, sauté, yogurt maker, and warmer. Digital controls with 13 programs. Stainless steel pot. Includes recipe book.",99.99,52.50,134,56,4.8,3456,HomeAppliance Co,2024-03-18
PROD-055,Balance Board Wooden,Sports & Fitness,StabilityPro,"Wooden balance board for core strength and stability training. Anti-slip surface. Durable construction supports up to 350 lbs. Great for surfing, skateboarding, snowboarding practice, or physical therapy.",44.99,19.25,234,87,4.5,423,FitGear Dist,2024-03-11
PROD-056,HDMI Cable 4K 6ft 2-Pack,Electronics,VideoLink,"4K HDMI cables, 2-pack (6ft each). Supports 4K@60Hz, HDR, and Ethernet. Gold-plated connectors. Durable braided cable. Compatible with all HDMI devices. High-speed transmission.",16.99,5.50,789,312,4.6,567,TechSupply Co,2024-03-19
PROD-057,Turmeric Curcumin with Black Pepper,Health & Wellness,AntiInflam,"Turmeric curcumin supplement with BioPerine (black pepper extract) for enhanced absorption. Supports joint health and inflammation response. 95% curcuminoids. Vegan capsules. 90-day supply.",29.99,13.75,478,189,4.7,2134,HealthDist Co,2024-03-13
PROD-058,Glass Food Storage Containers 10-Pack,Kitchen & Dining,FreshStore,"Glass food storage containers with locking lids, 10-piece set (5 containers + 5 lids). BPA-free lids. Microwave, oven, freezer, and dishwasher safe (remove lids for oven). Airtight and leak-proof.",39.99,17.75,312,123,4.6,892,HomeGoods Inc,2024-03-15
PROD-059,Ab Roller Wheel,Sports & Fitness,CoreBuilder,"Ab roller wheel with knee pad. Ergonomic handles with non-slip grip. Stable dual wheels. Targets abs, arms, and back. Portable and easy to use. Great for home workouts.",19.99,7.25,645,234,4.5,678,FitGear Dist,2024-03-17
PROD-060,Desk Organizer Mesh,Accessories,OfficePro,"Mesh desk organizer with 5 compartments and 1 drawer. Keeps office supplies organized. Sturdy metal construction. Space-saving design. Modern black finish. Perfect for home or office.",22.99,8.75,423,156,4.4,334,OfficeSupply Co,2024-03-12
PROD-061,Noise Cancelling Earphones Wired,Electronics,AudioMax,"Wired earphones with passive noise isolation. Premium sound quality. Built-in microphone and remote control. 3.5mm jack compatible with most devices. Tangle-free cable. Includes 3 ear tip sizes.",29.99,11.25,534,167,4.5,1123,TechSupply Co,2024-03-16
PROD-062,Apple Cider Vinegar Gummies,Health & Wellness,DetoxPlus,"Apple cider vinegar gummies with the mother. Supports digestion and weight management. Great-tasting apple flavor. Vegan and gluten-free. 60-day supply.",19.99,9.25,589,223,4.4,989,HealthDist Co,2024-03-14
PROD-063,Immersion Blender Hand Blender,Kitchen & Dining,BlendMaster,"Immersion hand blender with 500W motor. Variable speed control. Includes whisk and milk frother attachments. Stainless steel blades. Ergonomic grip. Perfect for soups, smoothies, and sauces.",34.99,15.50,278,98,4.6,567,HomeAppliance Co,2024-03-18
PROD-064,Ankle Weights Pair 5 lbs,Sports & Fitness,WeightPro,"Adjustable ankle weights, 5 lbs each (10 lbs total). Removable weight pockets. Secure Velcro closure. Comfortable neoprene material. Adds intensity to workouts, walking, or physical therapy.",24.99,9.75,456,145,4.5,445,FitGear Dist,2024-03-11
PROD-065,Blue Light Blocking Glasses,Accessories,EyeComfort,"Blue light blocking glasses for computer use. Reduces eye strain and improves sleep. Clear lenses with anti-glare coating. Lightweight frame. Available in multiple styles. Includes protective case.",19.99,7.25,512,178,4.6,892,Eyewear Co,2024-03-19
PROD-066,Webcam 1080p Full HD,Electronics,ViewCam,"1080p Full HD webcam with built-in microphone. Auto-focus and light correction. 90-degree wide angle lens. USB plug-and-play. Compatible with Windows, Mac, and Linux. Perfect for video calls and streaming.",49.99,23.50,289,102,4.5,678,TechSupply Co,2024-03-13
PROD-067,Fish Oil Omega-3 1000mg,Health & Wellness,HeartHealth,"Fish oil omega-3 supplement, 1000mg per softgel. EPA and DHA for heart and brain health. Molecularly distilled for purity. Lemon flavor to reduce fishy aftertaste. 180-day supply.",24.99,11.25,534,198,4.6,1678,HealthDist Co,2024-03-17
PROD-068,Measuring Cups and Spoons Set,Kitchen & Dining,PrecisionChef,"Stainless steel measuring cups and spoons set. Includes 5 cups and 5 spoons with engraved measurements. Stackable for easy storage. Ring to keep set together. Dishwasher safe.",14.99,5.25,678,245,4.7,456,CookSupply Co,2024-03-15
PROD-069,Medicine Ball 10 lbs,Sports & Fitness,PowerFlex,"Textured medicine ball, 10 lbs. Durable rubber construction. Easy-grip surface. Versatile for strength training, core workouts, and rehab. Bounces for added exercise variety.",34.99,14.50,298,89,4.6,334,FitGear Dist,2024-03-18
PROD-070,Power Bank 20000mAh,Electronics,ChargeMax,"High-capacity power bank 20000mAh. Charges phones 4-6 times. Dual USB outputs for charging 2 devices simultaneously. LED battery indicator. Fast charging input and output. Includes USB cable.",34.99,15.75,389,156,4.5,1234,TechSupply Co,2024-03-12
PROD-071,Magnesium Glycinate 400mg,Health & Wellness,RelaxMin,"Magnesium glycinate supplement, 400mg per serving. Highly absorbable form. Supports muscle relaxation, sleep, and stress relief. Non-GMO and vegan. 120-day supply.",22.99,10.50,467,167,4.7,1456,HealthDist Co,2024-03-16
PROD-072,Slotted Spoon Stainless Steel,Kitchen & Dining,ChefPro,"Stainless steel slotted spoon with comfortable handle. Heat-resistant up to 450°F. Dishwasher safe. Sturdy construction. Hanging loop for convenient storage. Essential kitchen utensil.",8.99,3.25,823,298,4.5,234,CookSupply Co,2024-03-14
PROD-073,Agility Ladder 15 Feet,Sports & Fitness,SpeedStep,"Agility training ladder, 15 feet with 12 rungs. Adjustable rungs for customizable spacing. Durable flat rungs won't tangle or flip. Includes carrying bag. Great for football, soccer, basketball training.",19.99,7.50,534,178,4.6,445,FitGear Dist,2024-03-19
PROD-074,Tablet Stand Multi-Angle,Electronics,ViewPro,"Adjustable tablet stand compatible with 4-13 inch tablets and phones. 270-degree rotation. Sturdy aluminum construction. Non-slip base and holder. Folds flat for travel. Perfect for desk, kitchen, or bedside.",19.99,7.25,612,201,4.5,567,TechSupply Co,2024-03-11
PROD-075,Biotin 10000mcg Hair Growth,Health & Wellness,BeautyVit,"Biotin supplement 10000mcg for hair, skin, and nail health. Supports hair growth and strength. Non-GMO and gluten-free. 300-day supply (1 per day).",16.99,7.75,645,245,4.5,1892,HealthDist Co,2024-03-17
PROD-076,Garlic Press Stainless Steel,Kitchen & Dining,ChefPro,"Stainless steel garlic press with ergonomic handles. Large chamber minces multiple cloves at once. Easy to clean with included cleaning tool. Dishwasher safe. Durable construction.",12.99,4.50,734,267,4.6,423,CookSupply Co,2024-03-13
PROD-077,Suspension Trainer Straps,Sports & Fitness,TRX-Style,"Suspension trainer straps for bodyweight exercises. Adjustable length. Supports up to 400 lbs. Includes door anchor and workout guide. Portable and versatile. Full-body workout anywhere.",44.99,19.75,189,67,4.7,678,FitGear Dist,2024-03-15
PROD-078,Wireless Keyboard and Mouse Combo,Electronics,TypeComfort,"Wireless keyboard and mouse combo with 2.4GHz connection. Full-size keyboard with number pad. Ergonomic mouse design. Long battery life (up to 24 months). Works with Windows and Mac. Includes nano USB receiver.",39.99,17.25,367,134,4.5,892,TechSupply Co,2024-03-18
PROD-079,Melatonin 10mg Sleep Aid,Health & Wellness,SleepEasy,"Melatonin supplement 10mg for sleep support. Drug-free sleep aid. Helps regulate sleep-wake cycle. Berry flavor dissolves under tongue. Vegan and non-habit forming. 120-day supply.",14.99,6.75,589,234,4.4,1234,HealthDist Co,2024-03-12
PROD-080,Silicone Spatula Set 5-Piece,Kitchen & Dining,FlexCook,"Silicone spatula set, 5 pieces in different sizes. Heat-resistant up to 480°F. Non-stick safe. Stainless steel core for rigidity. Hanging loops. Dishwasher safe. Assorted colors.",18.99,7.25,556,189,4.6,334,CookSupply Co,2024-03-16
PROD-081,Push-Up Bars Pair,Sports & Fitness,PowerGrip,"Push-up bars with ergonomic foam grips. Sturdy steel construction. Non-slip base. Reduces wrist strain during push-ups. Compact and portable. Supports up to 300 lbs.",16.99,6.25,623,198,4.5,445,FitGear Dist,2024-03-14
PROD-082,USB Hub 3.0 4-Port,Electronics,DataPort,"USB 3.0 hub with 4 ports. Super-speed data transfer up to 5Gbps. Compact and portable design. LED indicator lights. Compatible with Windows, Mac, and Linux. Includes USB cable.",14.99,5.50,689,223,4.5,567,TechSupply Co,2024-03-19
PROD-083,Ashwagandha 1300mg Organic,Health & Wellness,StressRelief,"Organic ashwagandha root extract 1300mg. Supports stress relief and mood. Adaptogenic herb. Black pepper extract for absorption. Vegan capsules. 90-day supply.",26.99,12.25,423,156,4.6,1456,HealthDist Co,2024-03-11
PROD-084,Oven Mitts and Pot Holders 4-Piece,Kitchen & Dining,HeatShield,"Heat-resistant oven mitts and pot holders set, 4 pieces. Protects hands up to 500°F. Non-slip silicone grip. Machine washable. Hanging loops. Modern design in multiple colors.",19.99,7.75,512,178,4.5,423,HomeGoods Inc,2024-03-17
PROD-085,Battle Ropes 30 Feet,Sports & Fitness,CardioMax,"Heavy battle rope, 30 feet long and 1.5 inches thick. Durable poly dacron construction. Excellent for cardio and full-body conditioning. Includes anchor strap. Weight approximately 15 lbs.",69.99,32.50,98,34,4.7,234,FitGear Dist,2024-03-13
PROD-086,Monitor Stand with Storage,Electronics,DeskRise,"Monitor stand riser with storage drawer. Raises monitor to ergonomic height. Sturdy metal mesh construction. Drawer for office supplies. Supports up to 44 lbs. Dimensions: 16x9x5 inches.",29.99,12.75,389,145,4.6,678,OfficeSupply Co,2024-03-15
PROD-087,Elderberry Gummies Immune Support,Health & Wellness,ImmuneBoost,"Elderberry gummies for immune support. With vitamin C and zinc. Delicious berry flavor. Pectin-based, gelatin-free. Supports immune health year-round. 60-day supply.",21.99,10.25,478,189,4.5,989,HealthDist Co,2024-03-18
PROD-088,Wine Opener Corkscrew Set,Kitchen & Dining,VinoPro,"Wine opener set with corkscrew, foil cutter, and wine stopper. Ergonomic double-hinged design. Stainless steel construction. Includes wooden storage box. Perfect gift for wine lovers.",24.99,9.50,334,98,4.7,567,HomeGoods Inc,2024-03-12
PROD-089,Slam Ball 20 lbs,Sports & Fitness,IronFlex,"Slam ball 20 lbs with textured surface. Durable rubber shell doesn't bounce. Ideal for high-intensity workouts, CrossFit, and functional training. Available in multiple weights.",44.99,19.25,187,67,4.6,334,FitGear Dist,2024-03-16
PROD-090,Portable SSD 1TB External,Electronics,DataSpeed,"Portable SSD external hard drive 1TB. USB 3.1 Gen 2 for ultra-fast data transfer. Compact and durable aluminum design. Compatible with Windows, Mac, and gaming consoles. Includes USB-C cable.",119.99,62.50,156,54,4.7,892,TechSupply Co,2024-03-14
PROD-091,CoQ10 200mg Ubiquinol,Health & Wellness,HeartVital,"CoQ10 ubiquinol 200mg, the active form. Supports heart health and cellular energy. Enhanced absorption. Soy-free softgels. 60-day supply.",34.99,16.75,312,112,4.6,1123,HealthDist Co,2024-03-19
PROD-092,Mixing Spoon Wooden Set 6-Piece,Kitchen & Dining,EcoKitchen,"Wooden spoon set, 6 pieces in different sizes. Made from natural bamboo. Won't scratch non-stick cookware. Heat-resistant and durable. Hand wash recommended.",16.99,6.25,589,201,4.5,334,HomeGoods Inc,2024-03-11
PROD-093,Speed Rope Jump Rope,Sports & Fitness,CardioMax,"Speed jump rope with ball bearing handles. Adjustable cable length up to 10 feet. Aluminum handles. Ideal for double-unders and cardio workouts. Includes spare cable.",14.99,5.25,723,267,4.6,445,FitGear Dist,2024-03-17
PROD-094,Ring Light 10 inch with Stand,Electronics,StreamPro,"10-inch LED ring light with adjustable tripod stand (up to 62 inches). 3 color modes and 10 brightness levels. Phone holder included. Perfect for photography, makeup, streaming, and video calls.",39.99,17.50,289,119,4.5,1234,TechSupply Co,2024-03-13
